Home Assistant notifications (Log started: 2025-12-20T19:43:03.751958+00:00)
--------------------------------------------------------------------------------
03/01 17:15 | Hyg:2.15 | Cuis:0.26 | Froid:0.59 | Chauff:6.36 | Avg P4:421.8 | Multi:3.67 | Lum:0.38 | T̄i:20.8°C | Ext:9.4°C | DUT S/R/B/C:3.2/0.0/8.5/11.1h
03/01 17:30 | Hyg:2.15 | Cuis:0.26 | Froid:0.6 | Chauff:6.44 | Avg P4:420.1 | Multi:3.77 | Lum:0.39 | T̄i:20.8°C | Ext:9.2°C | DUT S/R/B/C:3.2/0.0/8.6/11.3h
03/01 17:45 | Hyg:2.15 | Cuis:0.26 | Froid:0.61 | Chauff:6.56 | Avg P4:421.0 | Multi:3.86 | Lum:0.41 | T̄i:20.7°C | Ext:9.0°C | DUT S/R/B/C:3.2/0.0/8.8/11.5h
03/01 18:00 | Hyg:2.15 | Cuis:0.26 | Froid:0.63 | Chauff:6.67 | Avg P4:421.8 | Multi:3.95 | Lum:0.42 | T̄i:20.9°C | Ext:8.6°C | DUT S/R/B/C:3.3/0.0/8.9/11.7h
03/01 18:15 | Hyg:2.15 | Cuis:0.26 | Froid:0.64 | Chauff:6.76 | Avg P4:420.3 | Multi:4.03 | Lum:0.43 | T̄i:20.8°C | Ext:8.4°C | DUT S/R/B/C:3.3/0.0/9.1/11.9h
03/01 18:30 | Hyg:2.15 | Cuis:0.26 | Froid:0.64 | Chauff:6.84 | Avg P4:419.6 | Multi:4.11 | Lum:0.44 | T̄i:20.8°C | Ext:8.2°C | DUT S/R/B/C:3.3/0.0/9.2/12.1h
03/01 18:45 | Hyg:2.15 | Cuis:0.26 | Froid:0.65 | Chauff:6.93 | Avg P4:418.2 | Multi:4.17 | Lum:0.46 | T̄i:20.7°C | Ext:8.0°C | DUT S/R/B/C:3.3/0.0/9.4/12.3h
03/01 19:00 | Hyg:2.15 | Cuis:0.26 | Froid:0.66 | Chauff:7.02 | Avg P4:417.0 | Multi:4.23 | Lum:0.47 | T̄i:20.7°C | Ext:8.0°C | DUT S/R/B/C:3.3/0.0/9.5/12.5h
03/01 19:15 | Hyg:2.15 | Cuis:0.26 | Froid:0.66 | Chauff:7.14 | Avg P4:418.9 | Multi:4.28 | Lum:0.49 | T̄i:20.7°C | Ext:8.0°C | DUT S/R/B/C:3.4/0.0/9.7/12.7h
03/01 19:30 | Hyg:2.15 | Cuis:0.26 | Froid:0.67 | Chauff:7.23 | Avg P4:417.9 | Multi:4.33 | Lum:0.5 | T̄i:20.8°C | Ext:7.8°C | DUT S/R/B/C:3.4/0.0/9.8/12.9h
03/01 19:45 | Hyg:2.15 | Cuis:0.26 | Froid:0.67 | Chauff:7.3 | Avg P4:416.4 | Multi:4.37 | Lum:0.52 | T̄i:20.7°C | Ext:8.0°C | DUT S/R/B/C:3.4/0.0/9.9/13.1h
